date,driving,walking,transit
2020-10-03,7482.35,7486.21,2290.08
2020-10-04,6735.72,6051.2,2151.74
2020-10-05,6503.38,6564.63,2295.68
2020-10-06,6517.96,6588.13,2270.91
2020-10-07,6619.91,6592.28,2283.56
2020-10-08,6845.71,6730.91,2327.7
2020-10-09,7595.66,7368.32,2400.15
2020-10-10,7288.91,7377.06,2245.56
2020-10-11,6480.97,5821.88,2061.21
2020-10-12,6288.49,6087.36,2142.32
2020-10-13,6296.61,6192.09,2158.19
2020-10-14,6420.89,6289.84,2174.97
2020-10-15,6546.4,6351.43,2168.83
2020-10-16,7179.64,6939.67,2278.83
2020-10-17,6809.33,6785.75,2118.61
2020-10-18,6157.74,5478.63,1976.89
2020-10-19,6038.3,5881.15,2092.73
2020-10-20,6108.56,5952.99,2110.43
2020-10-21,6197.69,6029.24,2104.58
2020-10-22,6397.33,6116.17,2080.92
2020-10-23,7036.19,6739.96,2212.47
2020-10-24,6537.51,6503.29,2000.37
2020-10-25,6031.52,5429.17,1849.1
2020-10-26,5853.64,5653.99,1949.49
2020-10-27,5997.84,5773.89,1949.15
2020-10-28,6094.27,5815.92,1923.11
2020-10-29,6366.86,5961.89,1977.5
2020-10-30,6797.15,6459.38,2055.32
2020-10-31,6374.12,6459.71,1883.62
2020-11-01,5529.89,5016.32,1717.95
2020-11-02,5560.2,5396.09,1845.82
2020-11-03,5531.64,5515.7,1818.14
2020-11-04,5511.82,5415.92,1797.13
2020-11-05,5747.51,5609.24,1788.92
2020-11-06,6325.05,6223.66,1922.54
2020-11-07,5921.17,6054.14,1776.19
2020-11-08,5274.54,5002.49,1651.86
2020-11-09,5243.42,5215.76,1764.31
2020-11-10,5335.59,5329.14,1760.74
2020-11-11,5361.58,5306.78,1752.63
2020-11-12,5516.52,5392.02,1770.76
2020-11-13,6143.18,6031,1957.43
2020-11-14,5805.17,5868.38,1828.13
2020-11-15,5120.63,4762.31,1660.91
2020-11-16,5279.19,5127.2,1766.93
2020-11-17,5353.15,5214.27,1766.54
2020-11-18,5566.71,5342.36,1808.57
2020-11-19,5647.18,5378.09,1777.39
2020-11-20,6177.77,5915.75,1937.08
2020-11-21,5805.46,5690.55,1791.68
2020-11-22,5140.63,4667.53,1668.6
2020-11-23,5255.59,5096.03,1753.01
2020-11-24,5345.24,5192.07,1774.21
2020-11-25,5467.38,5258.99,1777.71
2020-11-26,5566.53,5314.44,1785.64
2020-11-27,6208.95,5962.15,1916.28
2020-11-28,5734.31,5649.09,1753.26
2020-11-29,5044.43,4551.94,1621.81
2020-11-30,5309.91,5084.34,1773.2
2020-12-01,5417.54,5262.91,1790.43
2020-12-02,5529.1,5317.43,1819.59
2020-12-03,5680.12,5402.67,1853.24
2020-12-04,6248.46,5949.47,1990.22
2020-12-05,5757.71,5723.87,1855.52
2020-12-06,5101.54,4646.68,1698.04
2020-12-07,5416.06,5236.56,1831.94
2020-12-08,5412.8,5247.13,1829.58
2020-12-09,5685.87,5371.37,1842.12
2020-12-10,5850.47,5507.76,1862.11
2020-12-11,6408.84,6102.73,2006.38
2020-12-12,5895.72,5747.16,1830.95
2020-12-13,5209.74,4734.39,1701.3
2020-12-14,5796.67,5626.87,1900.25
2020-12-15,5806.49,5617.31,1861.13
